plan_name,bucket
1344_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT SCFL 20240101,Medicare
1345_90 DEGREE BENEFITS INPATIENT 20241001,Commercial
1345_MEDICARE ADVANTAGE COVENTRY HMO OUTPATIENT 20240101,Medicare
1346_MEDICARE ADVANTAGE HAVEN HOSPICE OUTPATIENT 20240101,Medicare
1346_SUNSHINE AMBETTER EXCHANGE COMMERCIAL INPATIENT 20241001,Commercial
1347_MEDICARE (NO SEQ) INPATIENT 20241001,Medicare
1347_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT SCFL 20240101,Medicare
1348_MEDICARE ADVANTAGE HUMANA PPO OUTPATIENT 20240101,Medicare
1348_VETERANS ADMINISTRATION INPATIENT 20241001,Other Government
1349_AETNA NEW BUSINESS DISCOUNT INPATIENT 20241001,Commercial
1349_MEDICARE ADVANTAGE MOLINA OUTPATIENT 20240101,Medicare
1350_MEDICARE ADVANTAGE OUTPATIENT 20240101,Medicare
1351_MEDICARE ADVANTAGE BLUE CROSS INPATIENT 20241001,Medicare
1351_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED OUTPATIENT 20240101,Medicare
1352_MEDICARE ADVANTAGE CAREPLUS INPATIENT 20241001,Medicare
1352_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT SCFL 20240101,Medicare
1353_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT SIFL 20240101,Medicare
1353_MEDICARE ADVANTAGE COVENTRY HMO INPATIENT 20241001,Medicare
1354_MEDICARE ADVANTAGE HUMANA PPO INPATIENT 20241001,Medicare
1354_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Medicare
1355_MEDICARE ADVANTAGE BLUE CROSS OUTPATIENT 20240101,Medicare
1355_MEDICARE ADVANTAGE INPATIENT 20241001,Medicare
1356_MEDICARE ADVANTAGE MOLINA INPATIENT 20241001,Medicare
1357_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED INPATIENT 20241001,Medicare
1358_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Medicare
1359_CIGNA HEALTHSPRING INPATIENT 20241001,Commercial
1360_MEDICARE ADVANTAGE HUMANA HMO INPATIENT 20241001,Medicare
1361_MEDICARE ADVANTAGE AETNA INPATIENT 20241001,Medicare
1362_AETNA WHOLE HEALTH INPATIENT 20241001,Commercial
1363_CIGNA HEALTHSPRING OUTPATIENT 20241001,Commercial
1365_AETNA QUALIFIED HEALTH PLANS (QHP) INPATIENT 20241001,Commercial
1368_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT SIFL 20240101,Medicare
1380_90 DEGREE BENEFITS OUTPATIENT 20240101,Commercial
1382_SUNSHINE AMBETTER EXCHANGE COMMERCIAL OUTPATIENT 20240101,Commercial
1383_MEDICARE ADVANTAGE (NO SEQ) OUTPATIENT 20240101,Medicare
1384_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20240101,Medicare
1385_MOLINA EXCHANGE OUTPATIENT 20240101,Commercial
1385_UNITED HEALTH CARE PPO 20220701,Commercial
1386_VETERANS ADMINISTRATION OUTPATIENT 20240101,Other Government
1387_SMARTHEALTH OUTPATIENT 20240101,Commercial
1388_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE OUTPATIENT 20240101,Medicare
1389_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Medicare
1390_MEDICARE ADVANTAGE AETNA OUTPATIENT 20240201,Medicare
1390_MEDICARE ADVANTAGE BLUE CROSS OUTPATIENT 20240101,Medicare
1391_MEDICARE ADVANTAGE MOLINA OUTPATIENT 20240101,Medicare
1392_MEDICARE ADVANTAGE BRIGHT HEALTH OUTPATIENT 20240101,Medicare
1395_AETNA QUALIFIED HEALTH PLANS (QHP) OUTPATIENT SCFL 20240201,Commercial
1396_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT 20240101,Medicare
1397_AETNA WHOLE HEALTH OUTPATIENT SCFL 20240201,Commercial
1397_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT 20240101,Medicare
1398_MEDICARE ADVANTAGE COVENTRY HMO OUTPATIENT 20240101,Medicare
1399_AETNA QUALIFIED HEALTH PLANS (QHP) OUTPATIENT SIFL 20240201,Commercial
1399_MEDICARE ADVANTAGE HAVEN HOSPICE OUTPATIENT 20240101,Medicare
1400_MEDICARE ADVANTAGE HEARTLAND HC OUTPATIENT 20240101,Medicare
1401_AETNA WHOLE HEALTH OUTPATIENT SIFL 20240201,Commercial
1401_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT 20240101,Medicare
1402_MEDICARE ADVANTAGE HUMANA PPO OUTPATIENT 20240101,Medicare
1403_MEDICARE ADVANTAGE OUTPATIENT 20240101,Medicare
1404_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED OUTPATIENT 20240101,Medicare
1418_MEDICARE ADVANTAGE AETNA OUTPATIENT 20240201,Medicare
1421_AETNA QUALIFIED HEALTH PLAN (QHP) OUTPATIENT 20240201,Commercial
1423_AETNA WHOLE HEALTH OUTPATIENT 20240201,Commercial
1468_SMARTHEALTH INPATIENT 20241001,Commercial
1469_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE INPATIENT 20241001,Medicare
1470_90 DEGREE BENEFITS INPATIENT 20241001,Commercial
1471_CIGNA HEALTHSPRING INPATIENT 20241001,Commercial
1471_MEDICARE ADVANTAGE (NO SEQ) INPATIENT 20241001,Medicare
1472_CIGNA HEALTHSPRING OUTPATIENT 20241001,Commercial
1472_FACILITY BILLING OUTPATIENT PSH 20190101,Commercial
1472_MEDICARE ADVANTAGE BRIGHT HEALTH INPATIENT 20241001,Medicare
1473_MEDICARE ADVANTAGE BLUE CROSS INPATIENT 20241001,Medicare
1474_MEDICARE ADVANTAGE CAREPLUS INPATIENT 20241001,Medicare
1474_SMARTHEALTH INPATIENT 20241001,Commercial
1475_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE INPATIENT 20241001,Medicare
1475_MEDICARE ADVANTAGE COVENTRY HMO INPATIENT 20241001,Medicare
1476_MEDICARE ADVANTAGE HEARTLAND HC INPATIENT 20241001,Medicare
1476_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Medicare
1477_MEDICARE ADVANTAGE HUMANA PPO INPATIENT 20241001,Medicare
1477_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED INPATIENT 20241001,Medicare
1478_MEDICARE ADVANTAGE INPATIENT 20241001,Medicare
1478_VETERANS ADMINISTRATION INPATIENT 20241001,Other Government
1479_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED INPATIENT 20241001,Medicare
1479_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial
1480_90 DEGREE BENEFITS INPATIENT 20241001,Commercial
1480_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial
1481_AETNA NEW BUSINESS DISCOUNT INPATIENT SCFL 20241001,Commercial
1481_MEDICARE ADVANTAGE MOLINA INPATIENT 20241001,Medicare
1482_AETNA NEW BUSINESS DISCOUNT INPATIENT SIFL 20241001,Commercial
1482_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Medicare
1483_MOLINA EXCHANGE INPATIENT 20241001,Commercial
1483_SUNSHINE AMBETTER EXCHANGE COMMERCIAL INPATIENT 20241001,Commercial
1484_MEDICARE ADVANTAGE BLUE CROSS INPATIENT 20241001,Medicare
1484_VETERANS ADMINISTRATION INPATIENT 20241001,Other Government
1485_MEDICARE ADVANTAGE BRIGHT HEALTH INPATIENT 20241001,Medicare
1485_SUNSHINE AMBETTER EXCHANGE COMMERCIAL INPATIENT 20241001,Commercial
1486_MEDICARE ADVANTAGE CAREPLUS INPATIENT SCFL 20241001,Medicare
1487_CIGNA HEALTHSPRING INPATIENT 20241001,Commercial
1487_MEDICARE ADVANTAGE CAREPLUS INPATIENT SIFL 20241001,Medicare
1488_MEDICARE ADVANTAGE COVENTRY HMO INPATIENT 20241001,Medicare
1488_MEDICARE ADVANTAGE HUMANA HMO INPATIENT 20241001,Medicare
1489_MEDICARE ADVANTAGE AETNA INPATIENT 20241001,Medicare
1489_MEDICARE ADVANTAGE HUMANA PPO INPATIENT 20241001,Medicare
1490_AETNA WHOLE HEALTH INPATIENT 20241001,Commercial
1490_INMATE HEALTH CARE  INPATIENT 20241001,Other Government
1491_CIGNA HEALTHSPRING OUTPATIENT 20241001,Commercial
1492_MEDICARE ADVANTAGE INPATIENT 20241001,Medicare
1493_AETNA QUALIFIED HEALTH PLAN (QHP) INPATIENT 20241001,Commercial
1493_MOLINA EXCHANGE INPATIENT 20241001,Commercial
1494_MEDICARE ADVANTAGE MOLINA INPATIENT 20241001,Medicare
1495_AETNA RIVER 20241001,Commercial
1495_MEDICARE ADVANTAGE HUMANA HMO INPATIENT SCFL 20241001,Medicare
1496_MEDICARE ADVANTAGE HUMANA HMO INPATIENT SIFL 20241001,Medicare
1497_BLUE CROSS BLUE SHIELD BSL 20241001,Commercial
1498_BLUE CROSS BLUE SHIELD HMO 20241001,Commercial
1498_MEDICARE ADVANTAGE AETNA INPATIENT 20241001,Medicare
1499_AETNA QUALIFIED HEALTH PLANS (QHP) INPATIENT SCFL 20241001,Commercial
1499_BLUE CROSS BLUE SHIELD MBN 20241001,Commercial
1500_AETNA WHOLE HEALTH INPATIENT SCFL 20241001,Commercial
1500_BLUE CROSS BLUE SHIELD NWB 20241001,Commercial
1501_AETNA QUALIFIED HEALTH PLANS (QHP) INPATIENT SIFL 20241001,Commercial
1501_BLUE CROSS BLUE SHIELD PHS 20241001,Commercial
1502_AETNA WHOLE HEALTH INPATIENT SIFL 20241001,Commercial
1502_BLUE CROSS BLUE SHIELD PPO 20241001,Commercial
1503_AETNA SCFL 20241001,Commercial
1503_BLUE CROSS BLUE SHIELD SBN 20241001,Commercial
1504_AETNA SIFL 20241001,Commercial
1504_CIGNA HMO 20241001,Commercial
1505_CIGNA HMO NEW BUSINESS 20241001,Commercial
1506_CIGNA PPO 20241001,Commercial
1509_HUMANA HMO 20241001,Commercial
1510_HUMANA PPO 20241001,Commercial
1511_UNITED HEALTH CARE 20241001,Commercial
1528_BLUE CROSS BLUE SHIELD BSL SCFL 20241001,Commercial
1529_BLUE CROSS BLUE SHIELD BSL SIFL 20241001,Commercial
1530_BLUE CROSS BLUE SHIELD HMO SCFL 20241001,Commercial
1531_BLUE CROSS BLUE SHIELD HMO SIFL 20241001,Commercial
1532_BLUE CROSS BLUE SHIELD MBN SCFL 20241001,Commercial
1533_BLUE CROSS BLUE SHIELD MBN SIFL 20241001,Commercial
1534_BLUE CROSS BLUE SHIELD NWB SCFL 20241001,Commercial
1535_BLUE CROSS BLUE SHIELD NWB SIFL 20241001,Commercial
1536_BLUE CROSS BLUE SHIELD PHS SCFL 20241001,Commercial
1537_BLUE CROSS BLUE SHIELD PHS SIFL 20241001,Commercial
1538_BLUE CROSS BLUE SHIELD PPO SCFL 20241001,Commercial
1539_BLUE CROSS BLUE SHIELD PPO SIFL 20241001,Commercial
1540_BLUE CROSS BLUE SHIELD SBN SCFL 20241001,Commercial
1541_BLUE CROSS BLUE SHIELD SBN SIFL 20241001,Commercial
1542_CIGNA HMO 20241001,Commercial
1543_CIGNA HMO NEW BUSINESS 20241001,Commercial
1544_CIGNA HMO NEW BUSINESS 20241001,Commercial
1545_CIGNA PPO 20241001,Commercial
1546_CIGNA PPO 20241001,Commercial
1548_CIGNA HMO 20241001,Commercial
1550_HUMANA HMO SCFL 20241001,Commercial
1551_HUMANA HMO SIFL 20241001,Commercial
1552_HUMANA PPO SCFL 20241001,Commercial
1553_HUMANA PPO SIFL 20241001,Commercial
1554_UNITED HEALTH CARE SCFL 20241001,Commercial
1555_UNITED HEALTH CARE SIFL 20241001,Commercial
156.65,Unknown
1772_BMFL NEIGHBORHOOD HEALTH PARTNERSHIP 20201115,Commercial
1773_**TEST BMFL BLUE CROSS BLUE SHIELD PPO 20210101,Commercial
1824_MULTIPLAN PSH 20210101,Unknown
187.2,Unknown
2 healthcare physicians mgmcr,Medicare
2114_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20221201,Medicare
2245_SUNSHINE HEALTH AMBETTER COMMERCIAL OUTPATIENT PSH 20240101,Commercial
2249_MEDICARE ADVANTAGE HUMANA GOLD OUTPATIENT BMFL 20240101,Medicare
2250_MEDICARE ADVANTAGE HUMANA GOLD OUTPATIENT PSH 20240101,Medicare
2251_MEDICARE ADVANTAGE OUTPATIENT PSH 20240101,Medicare
2252_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT BMFL 20240101,Medicare
2253_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT PSH 20240101,Medicare
2254_MEDICARE REPLACEMENT OUTPATIENT BMFL 20240101,Medicare
2255_SMARTHEALTH OUTPATIENT 20240101,Commercial
2260_MEDICARE ADVANTAGE BLUE OUTPATIENT BMFL 20240101,Medicare
2261_MEDICARE ADVANTAGE BLUE OUTPATIENT PSH 20240101,Medicare
2281_ENCOMPASS HEALTH REHABILITATION MEDICARE OUTPATIENT BMFL 20240215,Medicare
2284_AETNA MEDICARE REPLACEMENT OUTPATIENT BMFL 20240201,Medicare
2286_AETNA MEDICARE ADVANTAGE OUTPATIENT PSH 20240201,Medicare
2369_SMARTHEALTH INPATIENT 20241001,Commercial
2370_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT BMFL 20241001,Medicare
2371_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT PSH 20241001,Medicare
2372_MEDICARE ADVANTAGE CIGNA HEALTHSPRING OUTPATIENT BMFL 20241001,Medicare
2373_MEDICARE ADVANTAGE CIGNA HEALTHSPRING OUTPATIENT PSH 20241001,Medicare
2374_FACILITY BILLING INPATIENT PSH 20241001,Unknown
2379_MEDICARE ADVANTAGE BLUE INPATIENT PSH 20241001,Medicare
2380_MEDICARE ADVANTAGE INPATIENT PSH 20241001,Medicare
2381_MEDICARE REPLACEMENT INPATIENT BMFL 20241001,Medicare
2382_MEDICARE ADVANTAGE HUMANA GOLD INPATIENT BMFL 20241001,Medicare
2383_MEDICARE ADVANTAGE HUMANA GOLD INPATIENT PSH 20241001,Medicare
2384_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Medicare
2385_SUNSHINE HEALTH AMBETTER COMMERCIAL INPATIENT PSH 20241001,Commercial
2386_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT BMFL 20241001,Medicare
2387_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT PSH 20241001,Medicare
2388_MEDICARE ADVANTAGE BLUE INPATIENT BMFL 20241001,Medicare
2391_AETNA MEDICARE REPLACEMENT INPATIENT BMFL 20241001,Medicare
2392_AETNA MEDICARE ADVANTAGE INPATIENT PSH 20241001,Medicare
2393_AETNA BMFL 20241001,Commercial
2395_BLUE CROSS BLUE SHIELD BSL BMFL 20241001,Commercial
2397_BLUE CROSS BLUE SHIELD HMO BMFL 20241001,Commercial
2399_BLUE CROSS BLUE SHIELD MBN BMFL 20241001,Commercial
2401_BLUE CROSS BLUE SHIELD NWB BMFL 20241001,Commercial
2403_BLUE CROSS BLUE SHIELD PHS BMFL 20241001,Commercial
2405_BLUE CROSS BLUE SHIELD PPO BMFL 20241001,Commercial
2407_BLUE CROSS BLUE SHIELD SBN BMFL 20241001,Commercial
2409_CIGNA BMFL 20241001,Commercial
241.15,Unknown
2412_UNITED HEALTH CARE HMO BMFL 20241001,Commercial
2414_UNITED HEALTH CARE NHP BMFL 20241001,Commercial
29.25,Unknown
324_FACILITY BILLING OUTPATIENT 20190101,Unknown
555_EVERNORTH BEHAVIORAL HEALTH 20221123,Commercial
582_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20221201,Medicare
643_MEDICARE ADVANTAGE BLUE OUTPATIENT 20240101,Medicare
645_MEDICARE ADVANTAGE HUMANA OUTPATIENT 20240101,Medicare
646_MEDICARE ADVANTAGE OUTPATIENT 20240101,Medicare
647_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Medicare
649_VETERAN OUTPATIENT 20240101,Other Government
650_SMARTHEALTH PPO OUTPATIENT 20240101,Commercial
659_SUNSHINE HEALTH AMBETTER COMMERCIAL OUTPATIENT 20240101,Commercial
664_AETNA MEDICARE ADVANTAGE OUTPATIENT 20240201,Commercial
675_EVERNORTH BEHAVIORAL HEALTH 20221123,Commercial
698_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT 20241001,Medicare
699_MEDICARE ADVANTAGE CIGNA HEALTHSRPING OUTPATIENT 20241001,Medicare
700_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial
702_VETERAN INPATIENT 20241001,Other Government
703_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Medicare
704_SUNSHINE HEALTH AMBETTER COMMERCIAL INPATIENT 20241001,Commercial
705_SMARTHEALTH PPO INPATIENT 20241001,Commercial
706_MEDICARE ADVANTAGE HUMANA INPATIENT 20241001,Medicare
707_MEDICARE ADVANTAGE INPATIENT 20231001,Medicare
707_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20221201,Medicare
708_MEDICARE ADVANTAGE BLUE INPATIENT 20241001,Medicare
710_AETNA MEDICARE ADVANTAGE INPATIENT 20241001,Medicare
711_AETNA 20241001,Commercial
712_BLUE CROSS BLUE SHIELD BSL 20241001,Commercial
713_BLUE CROSS BLUE SHIELD HMO 20241001,Commercial
714_BLUE CROSS BLUE SHIELD MBN 20241001,Commercial
715_BLUE CROSS BLUE SHIELD NWB 20241001,Commercial
716_BLUE CROSS BLUE SHIELD PHS 20241001,Commercial
717_BLUE CROSS BLUE SHIELD PPO 20241001,Commercial
718_BLUE CROSS BLUE SHIELD SBN 20241001,Commercial
719_CIGNA 20241001,Commercial
720_UNITED HEALTH CARE 20241001,Commercial
721_UNITED HEALTH CARE NHP SH 20241001,Commercial
771_MEDICARE ADVANTAGE AARP OUTPATIENT 20240101,Medicare
772_MEDICARE ADVANTAGE BLUE OUTPATIENT 20240101,Medicare
774_MEDICARE ADVANTAGE HUMANA GOLD OUTPATIENT 20240101,Medicare
775_MEDICARE ADVANTAGE OUTPATIENT 20240101,Medicare
776_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Medicare
779_SUNSHINE AMBETTER COMMERCIAL HEALTH OUTPATIENT 20240101,Commercial
780_SMARTHEALTH PPO OUTPATIENT 20240101,Commercial
795_AETNA MEDICARE ADVANTAGE OUTPATIENT 20240201,Medicare
835_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT 20241001,Medicare
836_MEDICARE ADVANTAGE CIGNA HEALTHSPRING OUTPATIENT 20241001,Medicare
837_SMARTHEALTH PPO INPATIENT 20241001,Commercial
838_FACILITY BILLING INPATIENT 20241001,Commercial
839_MEDICARE ADVANTAGE AARP INPATIENT 20241001,Medicare
840_MEDICARE ADVANTAGE BLUE INPATIENT 20241001,Medicare
841_MEDICARE ADVANTAGE HUMANA GOLD INPATIENT 20241001,Medicare
842_MEDICARE ADVANTAGE INPATIENT 20241001,Medicare
843_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial
846_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Medicare
847_SUNSHINE AMBETTER COMMERCIAL HEALTH INPATIENT 20241001,Commercial
848_TRIWEST 20241001,Other Government
850_AETNA MEDICARE ADVANTAGE INPATIENT 20241001,Commercial
851_AETNA 20241001,Commercial
852_BLUE CROSS BLUE SHIELD BSL 20241001,Commercial
853_BLUE CROSS BLUE SHIELD HMO 20241001,Commercial
854_BLUE CROSS BLUE SHIELD MBN 20241001,Commercial
855_BLUE CROSS BLUE SHIELD NWB 20241001,Commercial
856_BLUE CROSS BLUE SHIELD PHS 20241001,Commercial
857_BLUE CROSS BLUE SHIELD PPO 20241001,Commercial
858_BLUE CROSS BLUE SHIELD SBN 20241001,Commercial
859_CIGNA 20241001,Commercial
860_UNITED HEALTH CARE 20241001,Commercial
861_UNITED HEALTH CARE NHP 20241001,Commercial
893_AETNA NEW BUSINESS DISCOUNT OUTPATIENT SCFL 20211015,Commercial
904_AETNA NEW BUSINESS DISCOUNT OUTPATIENT 20211015,Commercial
91.65,Unknown
947_UNITED HEALTH CARE PPO 20210101,Commercial
AARP [10027501],Commercial
ACCEL,Commercial
ACCENDO [10000120],Commercial
ACCESS BEHAVIORAL HEALTH HUMANA MCD,Medicaid
ACO,Commercial
ACO Reach,Commercial
ACTIVE DUTY MILITARY [60000109],Other Government
ADMINISTRATIVE CONCEPTS [10029201],Unknown
ADOLESCENT BEHAVIORAL HEALTH ENDOWMENT [50001908],Commercial
ADVANTAGE (100% POM) MEDICARE ADVANTAGE (100% POM),Medicare
ADVANTAGE MEDICARE ADVANTAGE (100% POM),Medicare
AETNA,Commercial
AETNA BEHAVIORAL HEALTH [10000121],Commercial
AETNA BEHAVIORAL HEALTH [10033101],Commercial
AETNA BETTER HEALTH HEALTHY KIDS,Commercial
AETNA BETTER HEALTH HEALTHY KIDS [10000114],Commercial
AETNA BETTER HEALTH MEDICAID,Medicaid
AETNA BETTER HEALTH MEDICAID HMO [25031301],Medicaid
AETNA BETTER HEALTH MEDICAID [45011601],Medicaid
AETNA CATASTROPHIC,Commercial
AETNA DUAL BETTER HEALTH [450011602],Commercial
AETNA EAP (BBH ONLY) [10700103],Commercial
AETNA EPO [10000109],Commercial
AETNA HEALTHY KIDS [21010201],Commercial
AETNA HMO,Commercial
AETNA HMO EXCHANGE,Commercial
AETNA HMO/POS [10000107],Commercial
AETNA MEDICARE,Medicare
AETNA MEDICARE ADVANTAGE,Medicare
AETNA MEDICARE HMO [45012602],Medicare
AETNA MEDICARE PPO [45012601],Medicare
AETNA MEDICARE [25051801],Medicare
AETNA MERITAIN CHOICE POS II [10000110],Commercial
AETNA MERITAIN OPEN CHOICE PPO [10000116],Commercial
AETNA NAP NATIONAL ADVANTAGE PLAN [10000117],Commercial
AETNA NAT'L RAILWAY [10000118],Commercial
AETNA PPO,Commercial
AETNA PPO [10000101],Commercial
AETNA PPO [21010105],Commercial
AETNA QHP [10000119],Commercial
AETNA SENIOR SUPPLEMENTAL [10027601],Commercial
AETNA SIGNATURE ADMIN ASA [10000113],Commercial
AETNA SRC AFFORDABLE HEALTH CHOICES [10000112],Commercial
AETNA TIER 2,Commercial
AETNA WHOLE HEALTH [10000115],Commercial
AFFORDABLE PPO,Commercial
AG ADMINISTRATORS [50001502],Commercial
AITHER HEALTH [10034201],Commercial
ALIGN MEDICARE REPLACEMENT [25052401],Commercial
ALL Humana ALL,Commercial
ALL PRODUCTS,Unknown
ALLEGIANCE BENEFIT PLAN MANAGEMENT [10000930],Commercial
ALLEGIANCE [10000936],Commercial
ALLIED BENEFIT GROUP - AETNA [10031202],Commercial
ALLIED BENEFIT GROUP - PHCS [10031201],Commercial
ALLIED BENEFIT GROUP [10031203],Commercial
ALLIED BENEFIT GROUP- CIGNA OPEN ACCESS [10031207],Commercial
