cpt_code,Simple Description,Description,Category,Specialty
90833,"Individual Psychotherapy, 30 min., with medication management","Individual Psychotherapy, 30 min, performed with E/M service. Must be face-to-face time of 16 - 37 minutes. Add-on code used in conjunction with an E/M (medication management) code.",Psychotherapy w/ E/M,Psychiatry/Psychology
90836,"Individual Psychotherapy, 45 min., with medication management","Individual Psychotherapy, 45 min, performed with E/M service. Must be face-to-face time of 38 - 52 minutes. Add-on code used in conjunction with an E/M (medication management) code.",Psychotherapy w/ E/M,Psychiatry/Psychology
90838,"Individual Psychotherapy, 60 min., with medication management","Individual Psychotherapy, 60 min, performed with E/M service. Must be face-to-face time of 53 minutes or more. Add-on code used in conjunction with an E/M (medication management) code.",Psychotherapy w/ E/M,Psychiatry/Psychology
90839,"Psychotherapy for crisis, 60 min.",Psychotherapy for crisis; first 60 minutes. Used for urgent/immediate assessment and stabilization of a patient in acute crisis. Billed for 30 - 74 minutes. Cannot be billed with other psychotherapy codes on the same day.,Crisis Psychotherapy,Psychiatry/Psychology
90847,Family psychotherapy,"Family psychotherapy (conjoint psychotherapy) with patient present. Used when the identified patient is present in the family session. (50 minutes typical, minimum 26 minutes).",Family/Group,Psychiatry/Psychology
90853,Group Psychotherapy,Group Psychotherapy (other than multiple-family group). (45-60 minutes typical).,Family/Group,Psychiatry/Psychology
92004,"Eye evaluation, new patient","Ophthalmological services: Medical examination and evaluation with initiation of diagnostic and treatment program; comprehensive, new patient.",Eye Exam (General),Ophthalmology
92014,"Eye evaluation, existing patient","Ophthalmological services: Medical examination and evaluation with initiation or continuation of diagnostic and treatment program; comprehensive, established patient.",Eye Exam (General),Ophthalmology
92015,Eyesight measurement,Determination of refractive state (refraction),Diagnostic (Add-on),Ophthalmology
92134,Eye diagnostic scan,"Scanning computerized ophthalmic diagnostic imaging (e.g., Optical Coherence Tomography OCT), posterior segment, with interpretation and report, unilateral or bilateral; retina.",Diagnostic (Imaging),Ophthalmology
92250,Eye internal photograph,Fundus photography with interpretation and report.,Diagnostic (Imaging),Ophthalmology
92083,Peripheral vision exam,"Visual field examination, unilateral or bilateral, with medical diagnostic evaluation; extended examination.",Diagnostic (Testing),Ophthalmology
66984,Cataract surgery,"Extracapsular cataract removal with insertion of intraocular lens prosthesis (IOL), manual or mechanical technique (e.g., phacoemulsification).",Surgical (Cataract),Ophthalmology
67028,Eye injection,"Intravitreal injection of a therapeutic agent (e.g., anti-VEGF medication).",Procedure (Injection),Ophthalmology
65855,Eye drainage to lower eye pressure,"Trabeculoplasty by laser surgery, one or more sessions, one or both eyes (e.g., for Glaucoma).",Procedure (Laser),Ophthalmology
68761,Eye plug for severe dry eyes,"Closure of the lacrimal punctum; by plug, each.",Procedure (Minor),Ophthalmology
11102,Mole or growth removal,"Tangential biopsy of skin (e.g., shave, scoop, saucer technique); single lesion.",Surgery (Integumentary System),Dermatology
11104,"Punch biopsy, single lesion",Punch biopsy of skin (including simple closure); single lesion.,Surgery (Integumentary System),Dermatology
17000,"Destruction of pre-cancerous spot, 1st lesion","Destruction of premalignant lesions (e.g., actinic keratoses) first lesion.",Surgery (Integumentary System),Dermatology
17003,"Destruction of pre-cancerous spot, 2nd through 14th lesion",Destruction of premalignant lesions; 2nd through 14th lesions (List separately in addition to code for first lesion).,Surgery (Integumentary System),Dermatology
17110,"Destruction of non-cancerous spot, up to 14 lesions",Destruction of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions.,Surgery (Integumentary System),Dermatology
11900,"Skin injection, up to 7 lesions","Injection, intralesional; up to and including 7 lesions.",Surgery (Integumentary System),Dermatology
14040,Skin flap repair,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, feet; defect up to 10 sq cm.",Surgery (Integumentary System),Dermatology
10040,Acne surgery,"Acne surgery (e.g., marsupialization, opening, or removal of multiple milia, comedones, cysts); manual expression of lesions.",Surgery (Integumentary System),Dermatology
15781,"Face dermabrasion, partial",Dermabrasion; partial face.,Medicine (Special Services/Procedures),Dermatology
96900,Ultraviolet light therapy for face,"Actinotherapy (ultraviolet light B) for the treatment of skin disease (e.g., psoriasis, vitiligo).",Surgery (Integumentary System),Dermatology
77295,3D computer map of tumor,"3-dimensional radiotherapy plan, including dose-volume histogram.",Therapeutic Radiology (Planning),Radiation Oncology
77301,Radiation therapy complex planning,"Intensity Modulated Radiation Therapy (IMRT) plan, including dose-volume histograms.",Therapeutic Radiology (Planning),Radiation Oncology
77290,"CT or MRI to mark and measure tumor, complex",Therapeutic radiology simulation-aided field setting; complex.,Therapeutic Radiology (Preparation),Radiation Oncology
77386,"Radiation treatment, complex","Intensity Modulated Radiation Treatment (IMRT) delivery, includes guidance and tracking; complex.",Therapeutic Radiology (Delivery),Radiation Oncology
77427,"Radiation treatment management, 5 treatments","Radiation treatment management, per five fractions of treatment.",Therapeutic Radiology (Management),Radiation Oncology
77435,"Stereotactic body radiation therapy, treatment managment","Stereotactic Body Radiation Therapy (SBRT), treatment management, per treatment course.",Therapeutic Radiology (Management),Radiation Oncology
77373,"Stereotactic body radiation therapy, treatment delivery","Stereotactic body radiation therapy, treatment delivery, per fraction.",Therapeutic Radiology (Delivery),Radiation Oncology
77778,Brachytherapy (internal) radiation therapy,"Interstitial radiation source application, complex, includes supervision, handling, loading of radiation source.",Brachytherapy (Internal Radiation),Radiation Oncology
77334,Design and build of custom molds to protect cancer patient,"Treatment devices, design and construction; complex (e.g., irregular blocks, compensators, wedges).",Therapeutic Radiology (Dosimetry/Physics),Radiation Oncology
77014,CT imaging to guide placement of radiation,Computed tomography guidance for placement of radiation therapy fields.,Radiology (Diagnostic),Radiation Oncology
