zip_code,county,city,state
33173,Miami-Dade,Miami,FL
33174,Miami-Dade,Miami,FL
33175,Miami-Dade,Miami,FL
33176,Miami-Dade,Miami,FL
33177,Miami-Dade,Miami,FL
33178,Miami-Dade,Doral,FL
33179,Miami-Dade,Miami,FL
33180,Miami-Dade,Aventura,FL
33181,Miami-Dade,North Miami,FL
33182,Miami-Dade,Miami,FL
33183,Miami-Dade,Miami,FL
33184,Miami-Dade,Miami,FL
33185,Miami-Dade,Miami,FL
33186,Miami-Dade,Miami,FL
33187,Miami-Dade,Miami,FL
33189,Miami-Dade,Cutler Bay,FL
33190,Miami-Dade,Cutler Bay,FL
33193,Miami-Dade,Miami,FL
33194,Miami-Dade,Miami,FL
33196,Miami-Dade,Miami,FL
33197,Miami-Dade,Miami,FL
33401,Palm Beach,West Palm Beach,FL
33403,Palm Beach,West Palm Beach,FL
33404,Palm Beach,Riviera Beach,FL
33405,Palm Beach,West Palm Beach,FL
33406,Palm Beach,West Palm Beach,FL
33407,Palm Beach,West Palm Beach,FL
33408,Palm Beach,Palm Beach Gardens,FL
33409,Palm Beach,West Palm Beach,FL
33410,Palm Beach,Palm Beach Gardens,FL
33411,Palm Beach,West Palm Beach,FL
33412,Palm Beach,West Palm Beach,FL
33413,Palm Beach,West Palm Beach,FL
33414,Palm Beach,Wellington,FL
33415,Palm Beach,West Palm Beach,FL
33417,Palm Beach,West Palm Beach,FL
33418,Palm Beach,Palm Beach Gardens,FL
33426,Palm Beach,Boynton Beach,FL
33428,Palm Beach,Boca Raton,FL
33431,Palm Beach,Boca Raton,FL
33432,Palm Beach,Boca Raton,FL
33433,Palm Beach,Boca Raton,FL
33434,Palm Beach,Boca Raton,FL
33435,Palm Beach,Boynton Beach,FL
33436,Palm Beach,Boynton Beach,FL
33437,Palm Beach,Boynton Beach,FL
33440,Palm Beach,Clewiston,FL
33444,Palm Beach,Delray Beach,FL
33445,Palm Beach,Delray Beach,FL
33446,Palm Beach,Delray Beach,FL
33458,Palm Beach,Jupiter,FL
33460,Palm Beach,Lake Worth Beach,FL
33461,Palm Beach,Lake Worth,FL
33462,Palm Beach,Lantana,FL
33463,Palm Beach,Lake Worth,FL
33467,Palm Beach,Lake Worth,FL
33470,Palm Beach,Loxahatchee,FL
33480,Palm Beach,Palm Beach,FL
33486,Palm Beach,Boca Raton,FL
33487,Palm Beach,Boca Raton,FL
33496,Palm Beach,Boca Raton,FL
33510,Hillsborough,Brandon,FL
33511,Hillsborough,Brandon,FL
33534,Hillsborough,Gibsonton,FL
33547,Hillsborough,Lithia,FL
33549,Hillsborough,Lutz,FL
33556,Hillsborough,Odessa,FL
33558,Hillsborough,Lutz,FL
33559,Hillsborough,Lutz,FL
33563,Hillsborough,Plant City,FL
33565,Hillsborough,Plant City,FL
33566,Hillsborough,Plant City,FL
33569,Hillsborough,Riverview,FL
33570,Hillsborough,Ruskin,FL
33572,Hillsborough,Apollo Beach,FL
33573,Hillsborough,Sun City Center,FL
33578,Hillsborough,Riverview,FL
33579,Hillsborough,Riverview,FL
33584,Hillsborough,Seffner,FL
33594,Hillsborough,Valrico,FL
33596,Hillsborough,Valrico,FL
33602,Hillsborough,Tampa,FL
33603,Hillsborough,Tampa,FL
33604,Hillsborough,Tampa,FL
33605,Hillsborough,Tampa,FL
33606,Hillsborough,Tampa,FL
33607,Hillsborough,Tampa,FL
33609,Hillsborough,Tampa,FL
33610,Hillsborough,Tampa,FL
33611,Hillsborough,Tampa,FL
33612,Hillsborough,Tampa,FL
33613,Hillsborough,Tampa,FL
33614,Hillsborough,Tampa,FL
33615,Hillsborough,Tampa,FL
33616,Hillsborough,Tampa,FL
33617,Hillsborough,Temple Terrace,FL
33618,Hillsborough,Tampa,FL
33619,Hillsborough,Tampa,FL
33624,Hillsborough,Tampa,FL
33625,Hillsborough,Tampa,FL
33626,Hillsborough,Tampa,FL
33629,Hillsborough,Tampa,FL
33634,Hillsborough,Tampa,FL
33635,Hillsborough,Tampa,FL
33637,Hillsborough,Tampa,FL
33647,Hillsborough,Tampa,FL
33701,Pinellas,Saint Petersburg,FL
33702,Pinellas,Saint Petersburg,FL
33703,Pinellas,Saint Petersburg,FL
33704,Pinellas,Saint Petersburg,FL
33705,Pinellas,Saint Petersburg,FL
33706,Pinellas,Saint Pete Beach,FL
33707,Pinellas,Gulfport,FL
33708,Pinellas,Madeira Beach,FL
33709,Pinellas,Saint Petersburg,FL
33710,Pinellas,Saint Petersburg,FL
33711,Pinellas,Saint Petersburg,FL
33712,Pinellas,Saint Petersburg,FL
33713,Pinellas,Saint Petersburg,FL
33714,Pinellas,Saint Petersburg,FL
33715,Pinellas,Saint Petersburg,FL
33716,Pinellas,Saint Petersburg,FL
33755,Pinellas,Clearwater,FL
33756,Pinellas,Clearwater,FL
33759,Pinellas,Clearwater,FL
33760,Pinellas,Clearwater,FL
33761,Pinellas,Clearwater,FL
33762,Pinellas,Clearwater,FL
33763,Pinellas,Clearwater,FL
33764,Pinellas,Clearwater,FL
33765,Pinellas,Clearwater,FL
33770,Pinellas,Largo,FL
33771,Pinellas,Largo,FL
33772,Pinellas,Seminole,FL
33773,Pinellas,Largo,FL
33774,Pinellas,Largo,FL
33775,Pinellas,Largo,FL
33776,Pinellas,Largo,FL
33777,Pinellas,Seminole,FL
33778,Pinellas,Largo,FL
33781,Pinellas,Pinellas Park,FL
33782,Pinellas,Pinellas Park,FL
33785,Pinellas,Indian Rocks Beach,FL
33786,Pinellas,Belleair Beach,FL
32801,Orange,Orlando,FL
32803,Orange,Orlando,FL
32804,Orange,Orlando,FL
32805,Orange,Orlando,FL
32806,Orange,Orlando,FL
32807,Orange,Orlando,FL
32808,Orange,Orlando,FL
32809,Orange,Orlando,FL
32810,Orange,Orlando,FL
32811,Orange,Orlando,FL
32812,Orange,Orlando,FL
32817,Orange,Orlando,FL
32818,Orange,Orlando,FL
32819,Orange,Orlando,FL
32820,Orange,Orlando,FL
32821,Orange,Orlando,FL
32822,Orange,Orlando,FL
32824,Orange,Orlando,FL
32825,Orange,Orlando,FL
32826,Orange,Orlando,FL
32827,Orange,Orlando,FL
32828,Orange,Orlando,FL
32829,Orange,Orlando,FL
32832,Orange,Orlando,FL
32835,Orange,Orlando,FL
32836,Orange,Orlando,FL
32837,Orange,Orlando,FL
32839,Orange,Orlando,FL
32853,Orange,Orlando,FL
