plan_name,bucket,specification
1273_MEDICARE ADVANTAGE COVENTRY HMO OUTPATIENT 20240101,Government,Medicare
1274_MEDICARE ADVANTAGE HAVEN HOSPICE OUTPATIENT 20240101,Government,Medicare
1275_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT 20240101,Government,Medicare
1276_MEDICARE ADVANTAGE HUMANA PPO OUTPATIENT 20240101,Government,Medicare
1277_MEDICARE ADVANTAGE MOLINA OUTPATIENT 20240101,Government,Medicare
1278_MEDICARE ADVANTAGE OUTPATIENT 20240101,Government,Medicare
1279_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED OUTPATIENT 20240101,Government,Medicare
1293_MEDICARE ADVANTAGE AETNA OUTPATIENT 20240201,Government,Medicare
1294_MEDICARE ADVANTAGE HUMANA HMO CARDIOLOGY INPATIENT 20230512,Government,Medicare
1296_AETNA QUALIFIED HEALTH PLANS (QHP) OUTPATIENT 20240201,Commercial,Aetna
1298_AETNA WHOLE HEALTH OUTPATIENT 20240201,Commercial,Aetna
1333_SUNSHINE AMBETTER EXCHANGE COMMERCIAL OUTPATIENT 20240101,Commercial,Sunshine
1334_90 DEGREE BENEFITS OUTPATIENT 20240101,Commercial,90 Degree
1335_MOLINA EXCHANGE OUTPATIENT 20240101,Commercial,Molina
1336_SMARTHEALTH OUTPATIENT 20240101,Commercial,Smarthealth
1337_VETERANS ADMINISTRATION OUTPATIENT 20240101,Government,VA
1338_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20240101,Government,Medicare
1339_MEDICARE ADVANTAGE BRIGHT HEALTH OUTPATIENT 20240101,Government,Medicare
1340_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE OUTPATIENT 20240101,Government,Medicare
1340_SMARTHEALTH INPATIENT 20241001,Commercial,Smarthealth
1341_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE INPATIENT 20241001,Government,Medicare
1342_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Government,Medicare
1343_MOLINA EXCHANGE INPATIENT 20241001,Commercial,Molina
1344_MEDICARE ADVANTAGE BRIGHT HEALTH INPATIENT 20241001,Government,Medicare
1344_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT SCFL 20240101,Government,Medicare
1345_90 DEGREE BENEFITS INPATIENT 20241001,Commercial,90 Degree
1345_MEDICARE ADVANTAGE COVENTRY HMO OUTPATIENT 20240101,Government,Medicare
1346_MEDICARE ADVANTAGE HAVEN HOSPICE OUTPATIENT 20240101,Government,Medicare
1346_SUNSHINE AMBETTER EXCHANGE COMMERCIAL INPATIENT 20241001,Commercial,Sunshine
1347_MEDICARE (NO SEQ) INPATIENT 20241001,Government,Medicare
1347_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT SCFL 20240101,Government,Medicare
1348_MEDICARE ADVANTAGE HUMANA PPO OUTPATIENT 20240101,Government,Medicare
1348_VETERANS ADMINISTRATION INPATIENT 20241001,Government,VA
1349_AETNA NEW BUSINESS DISCOUNT INPATIENT 20241001,Commercial,Aetna
1349_MEDICARE ADVANTAGE MOLINA OUTPATIENT 20240101,Government,Medicare
1350_MEDICARE ADVANTAGE OUTPATIENT 20240101,Government,Medicare
1351_MEDICARE ADVANTAGE BLUE CROSS INPATIENT 20241001,Government,Medicare
1351_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED OUTPATIENT 20240101,Government,Medicare
1352_MEDICARE ADVANTAGE CAREPLUS INPATIENT 20241001,Government,Medicare
1352_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT SCFL 20240101,Government,Medicare
1353_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT SIFL 20240101,Government,Medicare
1353_MEDICARE ADVANTAGE COVENTRY HMO INPATIENT 20241001,Government,Medicare
1354_MEDICARE ADVANTAGE HUMANA PPO INPATIENT 20241001,Government,Medicare
1354_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Government,Medicare
1355_MEDICARE ADVANTAGE BLUE CROSS OUTPATIENT 20240101,Government,Medicare
1355_MEDICARE ADVANTAGE INPATIENT 20241001,Government,Medicare
1356_MEDICARE ADVANTAGE MOLINA INPATIENT 20241001,Government,Medicare
1357_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED INPATIENT 20241001,Government,Medicare
1358_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Government,Medicare
1359_CIGNA HEALTHSPRING INPATIENT 20241001,Commercial,Cigna
1360_MEDICARE ADVANTAGE HUMANA HMO INPATIENT 20241001,Government,Medicare
1361_MEDICARE ADVANTAGE AETNA INPATIENT 20241001,Government,Medicare
1362_AETNA WHOLE HEALTH INPATIENT 20241001,Commercial,Aetna
1363_CIGNA HEALTHSPRING OUTPATIENT 20241001,Commercial,Cigna
1365_AETNA QUALIFIED HEALTH PLANS (QHP) INPATIENT 20241001,Commercial,Aetna
1368_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT SIFL 20240101,Government,Medicare
1380_90 DEGREE BENEFITS OUTPATIENT 20240101,Commercial,90 Degree
1382_SUNSHINE AMBETTER EXCHANGE COMMERCIAL OUTPATIENT 20240101,Commercial,Sunshine
1383_MEDICARE ADVANTAGE (NO SEQ) OUTPATIENT 20240101,Government,Medicare
1384_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20240101,Government,Medicare
1385_MOLINA EXCHANGE OUTPATIENT 20240101,Commercial,Molina
1385_UNITED HEALTH CARE PPO 20220701,Commercial,United Health Care
1386_VETERANS ADMINISTRATION OUTPATIENT 20240101,Government,VA
1387_SMARTHEALTH OUTPATIENT 20240101,Commercial,Smarthealth
1388_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE OUTPATIENT 20240101,Government,Medicare
1389_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Government,Medicare
1390_MEDICARE ADVANTAGE AETNA OUTPATIENT 20240201,Government,Medicare
1390_MEDICARE ADVANTAGE BLUE CROSS OUTPATIENT 20240101,Government,Medicare
1391_MEDICARE ADVANTAGE MOLINA OUTPATIENT 20240101,Government,Medicare
1392_MEDICARE ADVANTAGE BRIGHT HEALTH OUTPATIENT 20240101,Government,Medicare
1395_AETNA QUALIFIED HEALTH PLANS (QHP) OUTPATIENT SCFL 20240201,Commercial,Aetna
1396_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT 20240101,Government,Medicare
1397_AETNA WHOLE HEALTH OUTPATIENT SCFL 20240201,Commercial,Aetna
1397_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT 20240101,Government,Medicare
1398_MEDICARE ADVANTAGE COVENTRY HMO OUTPATIENT 20240101,Government,Medicare
1399_AETNA QUALIFIED HEALTH PLANS (QHP) OUTPATIENT SIFL 20240201,Commercial,Aetna
1399_MEDICARE ADVANTAGE HAVEN HOSPICE OUTPATIENT 20240101,Government,Medicare
1400_MEDICARE ADVANTAGE HEARTLAND HC OUTPATIENT 20240101,Government,Medicare
1401_AETNA WHOLE HEALTH OUTPATIENT SIFL 20240201,Commercial,Aetna
1401_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT 20240101,Government,Medicare
1402_MEDICARE ADVANTAGE HUMANA PPO OUTPATIENT 20240101,Government,Medicare
1403_MEDICARE ADVANTAGE OUTPATIENT 20240101,Government,Medicare
1404_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED OUTPATIENT 20240101,Government,Medicare
1418_MEDICARE ADVANTAGE AETNA OUTPATIENT 20240201,Government,Medicare
1421_AETNA QUALIFIED HEALTH PLAN (QHP) OUTPATIENT 20240201,Commercial,Aetna
1423_AETNA WHOLE HEALTH OUTPATIENT 20240201,Commercial,Aetna
1468_SMARTHEALTH INPATIENT 20241001,Commercial,Smarthealth
1469_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE INPATIENT 20241001,Government,Medicare
1470_90 DEGREE BENEFITS INPATIENT 20241001,Commercial,90 Degree
1471_CIGNA HEALTHSPRING INPATIENT 20241001,Commercial,Cigna
1471_MEDICARE ADVANTAGE (NO SEQ) INPATIENT 20241001,Government,Medicare
1472_CIGNA HEALTHSPRING OUTPATIENT 20241001,Commercial,Cigna
1472_FACILITY BILLING OUTPATIENT PSH 20190101,Unknown,Unknown
1472_MEDICARE ADVANTAGE BRIGHT HEALTH INPATIENT 20241001,Government,Medicare
1473_MEDICARE ADVANTAGE BLUE CROSS INPATIENT 20241001,Government,Medicare
1474_MEDICARE ADVANTAGE CAREPLUS INPATIENT 20241001,Government,Medicare
1474_SMARTHEALTH INPATIENT 20241001,Commercial,Smarthealth
1475_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE INPATIENT 20241001,Government,Medicare
1475_MEDICARE ADVANTAGE COVENTRY HMO INPATIENT 20241001,Government,Medicare
1476_MEDICARE ADVANTAGE HEARTLAND HC INPATIENT 20241001,Government,Medicare
1476_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Government,Medicare
1477_MEDICARE ADVANTAGE HUMANA PPO INPATIENT 20241001,Government,Medicare
1477_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED INPATIENT 20241001,Government,Medicare
1478_MEDICARE ADVANTAGE INPATIENT 20241001,Government,Medicare
1478_VETERANS ADMINISTRATION INPATIENT 20241001,Government,VA
1479_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED INPATIENT 20241001,Government,Medicare
1479_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial,Sunshine
1480_90 DEGREE BENEFITS INPATIENT 20241001,Commercial,90 Degree
1480_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial,Sunshine
1481_AETNA NEW BUSINESS DISCOUNT INPATIENT SCFL 20241001,Commercial,Aetna
1481_MEDICARE ADVANTAGE MOLINA INPATIENT 20241001,Government,Medicare
1482_AETNA NEW BUSINESS DISCOUNT INPATIENT SIFL 20241001,Commercial,Aetna
1482_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Government,Medicare
1483_MOLINA EXCHANGE INPATIENT 20241001,Commercial,Molina
1483_SUNSHINE AMBETTER EXCHANGE COMMERCIAL INPATIENT 20241001,Commercial,Sunshine
1484_MEDICARE ADVANTAGE BLUE CROSS INPATIENT 20241001,Government,Medicare
1484_VETERANS ADMINISTRATION INPATIENT 20241001,Government,VA
1485_MEDICARE ADVANTAGE BRIGHT HEALTH INPATIENT 20241001,Government,Medicare
1485_SUNSHINE AMBETTER EXCHANGE COMMERCIAL INPATIENT 20241001,Commercial,Sunshine
1486_MEDICARE ADVANTAGE CAREPLUS INPATIENT SCFL 20241001,Government,Medicare
1487_CIGNA HEALTHSPRING INPATIENT 20241001,Commercial,Cigna
1487_MEDICARE ADVANTAGE CAREPLUS INPATIENT SIFL 20241001,Government,Medicare
1488_MEDICARE ADVANTAGE COVENTRY HMO INPATIENT 20241001,Government,Medicare
1488_MEDICARE ADVANTAGE HUMANA HMO INPATIENT 20241001,Government,Medicare
1489_MEDICARE ADVANTAGE AETNA INPATIENT 20241001,Government,Medicare
1489_MEDICARE ADVANTAGE HUMANA PPO INPATIENT 20241001,Government,Medicare
1490_AETNA WHOLE HEALTH INPATIENT 20241001,Commercial,Aetna
1490_INMATE HEALTH CARE  INPATIENT 20241001,Government,Other Government
1491_CIGNA HEALTHSPRING OUTPATIENT 20241001,Commercial,Cigna
1492_MEDICARE ADVANTAGE INPATIENT 20241001,Government,Medicare
1493_AETNA QUALIFIED HEALTH PLAN (QHP) INPATIENT 20241001,Commercial,Aetna
1493_MOLINA EXCHANGE INPATIENT 20241001,Commercial,Molina
1494_MEDICARE ADVANTAGE MOLINA INPATIENT 20241001,Government,Medicare
1495_AETNA RIVER 20241001,Commercial,Aetna
1495_MEDICARE ADVANTAGE HUMANA HMO INPATIENT SCFL 20241001,Government,Medicare
1496_MEDICARE ADVANTAGE HUMANA HMO INPATIENT SIFL 20241001,Government,Medicare
1497_BLUE CROSS BLUE SHIELD BSL 20241001,Commercial,Blue Cross Blue Shield
1498_BLUE CROSS BLUE SHIELD HMO 20241001,Commercial,Blue Cross Blue Shield
1498_MEDICARE ADVANTAGE AETNA INPATIENT 20241001,Government,Medicare
1499_AETNA QUALIFIED HEALTH PLANS (QHP) INPATIENT SCFL 20241001,Commercial,Aetna
1499_BLUE CROSS BLUE SHIELD MBN 20241001,Commercial,Blue Cross Blue Shield
1500_AETNA WHOLE HEALTH INPATIENT SCFL 20241001,Commercial,Aetna
1500_BLUE CROSS BLUE SHIELD NWB 20241001,Commercial,Blue Cross Blue Shield
1501_AETNA QUALIFIED HEALTH PLANS (QHP) INPATIENT SIFL 20241001,Commercial,Aetna
1501_BLUE CROSS BLUE SHIELD PHS 20241001,Commercial,Blue Cross Blue Shield
1502_AETNA WHOLE HEALTH INPATIENT SIFL 20241001,Commercial,Aetna
1502_BLUE CROSS BLUE SHIELD PPO 20241001,Commercial,Blue Cross Blue Shield
1503_AETNA SCFL 20241001,Commercial,Aetna
1503_BLUE CROSS BLUE SHIELD SBN 20241001,Commercial,Blue Cross Blue Shield
1504_AETNA SIFL 20241001,Commercial,Aetna
1504_CIGNA HMO 20241001,Commercial,Cigna
1505_CIGNA HMO NEW BUSINESS 20241001,Commercial,Cigna
1506_CIGNA PPO 20241001,Commercial,Cigna
1509_HUMANA HMO 20241001,Commercial,Humana
1510_HUMANA PPO 20241001,Commercial,Humana
1511_UNITED HEALTH CARE 20241001,Commercial,United Health Care
1528_BLUE CROSS BLUE SHIELD BSL SCFL 20241001,Commercial,Blue Cross Blue Shield
1529_BLUE CROSS BLUE SHIELD BSL SIFL 20241001,Commercial,Blue Cross Blue Shield
1530_BLUE CROSS BLUE SHIELD HMO SCFL 20241001,Commercial,Blue Cross Blue Shield
1531_BLUE CROSS BLUE SHIELD HMO SIFL 20241001,Commercial,Blue Cross Blue Shield
1532_BLUE CROSS BLUE SHIELD MBN SCFL 20241001,Commercial,Blue Cross Blue Shield
1533_BLUE CROSS BLUE SHIELD MBN SIFL 20241001,Commercial,Blue Cross Blue Shield
1534_BLUE CROSS BLUE SHIELD NWB SCFL 20241001,Commercial,Blue Cross Blue Shield
1535_BLUE CROSS BLUE SHIELD NWB SIFL 20241001,Commercial,Blue Cross Blue Shield
1536_BLUE CROSS BLUE SHIELD PHS SCFL 20241001,Commercial,Blue Cross Blue Shield
1537_BLUE CROSS BLUE SHIELD PHS SIFL 20241001,Commercial,Blue Cross Blue Shield
1538_BLUE CROSS BLUE SHIELD PPO SCFL 20241001,Commercial,Blue Cross Blue Shield
1539_BLUE CROSS BLUE SHIELD PPO SIFL 20241001,Commercial,Blue Cross Blue Shield
1540_BLUE CROSS BLUE SHIELD SBN SCFL 20241001,Commercial,Blue Cross Blue Shield
1541_BLUE CROSS BLUE SHIELD SBN SIFL 20241001,Commercial,Blue Cross Blue Shield
1542_CIGNA HMO 20241001,Commercial,Cigna
1543_CIGNA HMO NEW BUSINESS 20241001,Commercial,Cigna
1544_CIGNA HMO NEW BUSINESS 20241001,Commercial,Cigna
1545_CIGNA PPO 20241001,Commercial,Cigna
1546_CIGNA PPO 20241001,Commercial,Cigna
1548_CIGNA HMO 20241001,Commercial,Cigna
1550_HUMANA HMO SCFL 20241001,Commercial,Humana
1551_HUMANA HMO SIFL 20241001,Commercial,Humana
1552_HUMANA PPO SCFL 20241001,Commercial,Humana
1553_HUMANA PPO SIFL 20241001,Commercial,Humana
1554_UNITED HEALTH CARE SCFL 20241001,Commercial,United Health Care
1555_UNITED HEALTH CARE SIFL 20241001,Commercial,United Health Care
1772_BMFL NEIGHBORHOOD HEALTH PARTNERSHIP 20201115,Unknown,Unknown
1773_**TEST BMFL BLUE CROSS BLUE SHIELD PPO 20210101,Commercial,Blue Cross Blue Shield
1824_MULTIPLAN PSH 20210101,Commercial,Multiplan
2 healthcare physicians mgmcr,Government,Medicare
2114_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20221201,Government,Medicare
2245_SUNSHINE HEALTH AMBETTER COMMERCIAL OUTPATIENT PSH 20240101,Commercial,Sunshine
2249_MEDICARE ADVANTAGE HUMANA GOLD OUTPATIENT BMFL 20240101,Government,Medicare
2250_MEDICARE ADVANTAGE HUMANA GOLD OUTPATIENT PSH 20240101,Government,Medicare
2251_MEDICARE ADVANTAGE OUTPATIENT PSH 20240101,Government,Medicare
2252_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT BMFL 20240101,Government,Medicare
2253_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT PSH 20240101,Government,Medicare
2254_MEDICARE REPLACEMENT OUTPATIENT BMFL 20240101,Government,Medicare
2255_SMARTHEALTH OUTPATIENT 20240101,Commercial,SmartHealth
2260_MEDICARE ADVANTAGE BLUE OUTPATIENT BMFL 20240101,Government,Medicare
2261_MEDICARE ADVANTAGE BLUE OUTPATIENT PSH 20240101,Government,Medicare
2281_ENCOMPASS HEALTH REHABILITATION MEDICARE OUTPATIENT BMFL 20240215,Government,Medicare
2284_AETNA MEDICARE REPLACEMENT OUTPATIENT BMFL 20240201,Government,Medicare
2286_AETNA MEDICARE ADVANTAGE OUTPATIENT PSH 20240201,Government,Medicare
2369_SMARTHEALTH INPATIENT 20241001,Commercial,SmartHealth
2370_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT BMFL 20241001,Government,Medicare
2371_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT PSH 20241001,Government,Medicare
2372_MEDICARE ADVANTAGE CIGNA HEALTHSPRING OUTPATIENT BMFL 20241001,Government,Medicare
2373_MEDICARE ADVANTAGE CIGNA HEALTHSPRING OUTPATIENT PSH 20241001,Government,Medicare
2374_FACILITY BILLING INPATIENT PSH 20241001,Unknown,Unknown
2379_MEDICARE ADVANTAGE BLUE INPATIENT PSH 20241001,Government,Medicare
2380_MEDICARE ADVANTAGE INPATIENT PSH 20241001,Government,Medicare
2381_MEDICARE REPLACEMENT INPATIENT BMFL 20241001,Government,Medicare
2382_MEDICARE ADVANTAGE HUMANA GOLD INPATIENT BMFL 20241001,Government,Medicare
2383_MEDICARE ADVANTAGE HUMANA GOLD INPATIENT PSH 20241001,Government,Medicare
2384_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Government,Medicare
2385_SUNSHINE HEALTH AMBETTER COMMERCIAL INPATIENT PSH 20241001,Commercial,Sunshine
2386_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT BMFL 20241001,Government,Medicare
2387_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT PSH 20241001,Government,Medicare
2388_MEDICARE ADVANTAGE BLUE INPATIENT BMFL 20241001,Government,Medicare
2391_AETNA MEDICARE REPLACEMENT INPATIENT BMFL 20241001,Government,Medicare
2392_AETNA MEDICARE ADVANTAGE INPATIENT PSH 20241001,Government,Medicare
2393_AETNA BMFL 20241001,Commercial,Aetna
2395_BLUE CROSS BLUE SHIELD BSL BMFL 20241001,Commercial,Blue Cross Blue Shield
2397_BLUE CROSS BLUE SHIELD HMO BMFL 20241001,Commercial,Blue Cross Blue Shield
2399_BLUE CROSS BLUE SHIELD MBN BMFL 20241001,Commercial,Blue Cross Blue Shield
2401_BLUE CROSS BLUE SHIELD NWB BMFL 20241001,Commercial,Blue Cross Blue Shield
2403_BLUE CROSS BLUE SHIELD PHS BMFL 20241001,Commercial,Blue Cross Blue Shield
2405_BLUE CROSS BLUE SHIELD PPO BMFL 20241001,Commercial,Blue Cross Blue Shield
2407_BLUE CROSS BLUE SHIELD SBN BMFL 20241001,Commercial,Blue Cross Blue Shield
2409_CIGNA BMFL 20241001,Commercial,Cigna
2412_UNITED HEALTH CARE HMO BMFL 20241001,Commercial,United Health Care
2414_UNITED HEALTH CARE NHP BMFL 20241001,Commercial,United Health Care
324_FACILITY BILLING OUTPATIENT 20190101,Unknown,Unknown
555_EVERNORTH BEHAVIORAL HEALTH 20221123,Commercial,Evernorth
582_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20221201,Government,Medicare
643_MEDICARE ADVANTAGE BLUE OUTPATIENT 20240101,Government,Medicare
645_MEDICARE ADVANTAGE HUMANA OUTPATIENT 20240101,Government,Medicare
646_MEDICARE ADVANTAGE OUTPATIENT 20240101,Government,Medicare
647_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Government,Medicare
649_VETERAN OUTPATIENT 20240101,Government,Other Government
650_SMARTHEALTH PPO OUTPATIENT 20240101,Commercial,SmartHealth
659_SUNSHINE HEALTH AMBETTER COMMERCIAL OUTPATIENT 20240101,Commercial,Sunshine
664_AETNA MEDICARE ADVANTAGE OUTPATIENT 20240201,Commercial,Aetna
675_EVERNORTH BEHAVIORAL HEALTH 20221123,Commercial,Evernorth
698_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT 20241001,Government,Medicare
699_MEDICARE ADVANTAGE CIGNA HEALTHSRPING OUTPATIENT 20241001,Government,Medicare
700_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial,Sunshine
702_VETERAN INPATIENT 20241001,Government,Other Government
703_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Government,Medicare
704_SUNSHINE HEALTH AMBETTER COMMERCIAL INPATIENT 20241001,Commercial,Sunshine
705_SMARTHEALTH PPO INPATIENT 20241001,Commercial,SmartHealth
706_MEDICARE ADVANTAGE HUMANA INPATIENT 20241001,Government,Medicare
707_MEDICARE ADVANTAGE INPATIENT 20231001,Government,Medicare
707_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20221201,Government,Medicare
708_MEDICARE ADVANTAGE BLUE INPATIENT 20241001,Government,Medicare
710_AETNA MEDICARE ADVANTAGE INPATIENT 20241001,Government,Medicare
711_AETNA 20241001,Commercial,Aetna
712_BLUE CROSS BLUE SHIELD BSL 20241001,Commercial,Blue Cross Blue Shield
713_BLUE CROSS BLUE SHIELD HMO 20241001,Commercial,Blue Cross Blue Shield
714_BLUE CROSS BLUE SHIELD MBN 20241001,Commercial,Blue Cross Blue Shield
715_BLUE CROSS BLUE SHIELD NWB 20241001,Commercial,Blue Cross Blue Shield
716_BLUE CROSS BLUE SHIELD PHS 20241001,Commercial,Blue Cross Blue Shield
717_BLUE CROSS BLUE SHIELD PPO 20241001,Commercial,Blue Cross Blue Shield
718_BLUE CROSS BLUE SHIELD SBN 20241001,Commercial,Blue Cross Blue Shield
719_CIGNA 20241001,Commercial,Cigna
720_UNITED HEALTH CARE 20241001,Commercial,United Health Care
721_UNITED HEALTH CARE NHP SH 20241001,Commercial,United Health Care
771_MEDICARE ADVANTAGE AARP OUTPATIENT 20240101,Government,Medicare
772_MEDICARE ADVANTAGE BLUE OUTPATIENT 20240101,Government,Medicare
774_MEDICARE ADVANTAGE HUMANA GOLD OUTPATIENT 20240101,Government,Medicare
775_MEDICARE ADVANTAGE OUTPATIENT 20240101,Government,Medicare
776_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Government,Medicare
779_SUNSHINE AMBETTER COMMERCIAL HEALTH OUTPATIENT 20240101,Commercial,Sunshine
780_SMARTHEALTH PPO OUTPATIENT 20240101,Commercial,SmartHealth
795_AETNA MEDICARE ADVANTAGE OUTPATIENT 20240201,Government,Medicare
835_MEDICARE ADVANTAGE CIGNA HEALTHSPRING INPATIENT 20241001,Government,Medicare
836_MEDICARE ADVANTAGE CIGNA HEALTHSPRING OUTPATIENT 20241001,Government,Medicare
837_SMARTHEALTH PPO INPATIENT 20241001,Commercial,SmartHealth
838_FACILITY BILLING INPATIENT 20241001,Unknown,Unknown
839_MEDICARE ADVANTAGE AARP INPATIENT 20241001,Government,Medicare
840_MEDICARE ADVANTAGE BLUE INPATIENT 20241001,Government,Medicare
841_MEDICARE ADVANTAGE HUMANA GOLD INPATIENT 20241001,Government,Medicare
842_MEDICARE ADVANTAGE INPATIENT 20241001,Government,Medicare
843_SUNSHINE MEDICARE ADVANTAGE WELLCARE INPATIENT 20241001,Commercial,Sunshine
846_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Government,Medicare
